TeamName,G,Date,,Opp,WinorLose,points,opp_points,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Miami Heat,11,11/10/2021,@,LAL,L,117,120,40,96,0.417,10,37,0.27,27,35,0.771,11,47,26,14,2,14,25,,46,92,0.5,18,38,0.474,10,16,0.625,9,50,26,5,6,22,27
Miami Heat,12,11/11/2021,@,LAC,L,109,112,43,97,0.443,9,41,0.22,14,17,0.824,18,50,18,9,4,15,21,,43,91,0.473,11,37,0.297,15,17,0.882,9,42,20,9,9,12,14
Miami Heat,13,11/13/2021,@,UTA,W,111,105,42,85,0.494,13,33,0.394,14,16,0.875,13,48,23,6,3,19,25,,35,85,0.412,17,53,0.321,18,25,0.72,12,38,23,13,2,16,19
Miami Heat,14,11/15/2021,@,OKC,W,103,90,37,82,0.451,18,40,0.45,11,13,0.846,8,45,22,11,5,17,13,,34,83,0.41,15,41,0.366,7,10,0.7,9,42,26,6,10,20,15
Miami Heat,15,11/17/2021,,NOP,W,113,98,42,87,0.483,15,40,0.375,14,17,0.824,10,39,29,6,2,10,25,,33,75,0.44,10,35,0.286,22,28,0.786,10,38,18,6,3,16,21
Miami Heat,16,11/18/2021,,WAS,W,112,97,41,82,0.5,10,26,0.385,20,24,0.833,7,41,27,10,1,6,13,,38,77,0.494,15,36,0.417,6,10,0.6,5,37,25,4,3,17,19
Miami Heat,17,11/20/2021,@,WAS,L,100,103,38,81,0.469,7,27,0.259,17,20,0.85,10,37,21,7,3,12,26,,36,74,0.486,11,30,0.367,20,23,0.87,9,35,22,6,2,19,19
Miami Heat,18,11/23/2021,@,DET,W,100,92,35,76,0.461,9,29,0.31,21,29,0.724,12,51,22,9,3,16,19,,35,84,0.417,10,38,0.263,12,14,0.857,9,35,22,7,1,14,23
Miami Heat,19,11/24/2021,@,MIN,L,101,113,33,74,0.446,15,42,0.357,20,29,0.69,4,40,25,6,2,21,25,,38,93,0.409,18,55,0.327,19,21,0.905,15,52,24,10,7,16,26
Miami Heat,20,11/27/2021,@,CHI,W,107,104,37,86,0.43,14,40,0.35,19,22,0.864,9,36,23,13,1,10,19,,38,81,0.469,11,39,0.282,17,21,0.81,10,47,22,6,4,22,20
Miami Heat,21,11/29/2021,,DEN,L,111,120,43,91,0.473,15,44,0.341,10,15,0.667,12,39,32,2,1,9,18,,43,74,0.581,18,35,0.514,16,21,0.762,5,35,32,2,1,13,18
Miami Heat,22,12/1/2021,,CLE,L,85,111,32,85,0.376,12,37,0.324,9,13,0.692,9,28,21,8,4,11,17,,37,68,0.544,16,31,0.516,21,23,0.913,6,46,27,8,14,20,15
Miami Heat,23,12/3/2021,@,IND,W,113,104,43,81,0.531,16,34,0.471,11,13,0.846,9,38,24,5,6,13,22,,35,80,0.438,9,36,0.25,25,33,0.758,12,39,20,7,3,12,19
Miami Heat,24,12/4/2021,@,MIL,L,102,124,34,84,0.405,17,43,0.395,17,24,0.708,9,39,29,6,5,14,17,,44,98,0.449,18,50,0.36,18,20,0.9,19,57,32,3,6,14,22
Miami Heat,25,12/6/2021,,MEM,L,90,105,35,76,0.461,6,22,0.273,14,17,0.824,7,36,26,11,6,23,19,,38,89,0.427,13,33,0.394,16,21,0.762,16,47,26,11,6,19,18
Miami Heat,26,12/8/2021,,MIL,W,113,104,40,77,0.519,22,47,0.468,11,12,0.917,6,42,32,6,6,20,23,,36,85,0.424,12,39,0.308,20,27,0.741,12,41,18,11,4,18,20
Miami Heat,27,12/11/2021,,CHI,W,118,92,46,93,0.495,19,43,0.442,7,9,0.778,12,50,37,8,6,8,21,,31,83,0.373,17,40,0.425,13,20,0.65,7,34,22,5,3,14,15
Miami Heat,28,12/13/2021,@,CLE,L,94,105,38,85,0.447,13,40,0.325,5,9,0.556,11,39,26,4,4,14,15,,36,81,0.444,16,36,0.444,17,18,0.944,8,42,24,6,1,12,16
Miami Heat,29,12/15/2021,@,PHI,W,101,96,35,78,0.449,18,44,0.409,13,17,0.765,9,44,25,5,3,16,18,,35,79,0.443,12,37,0.324,14,17,0.824,4,35,26,9,5,11,19
Miami Heat,30,12/17/2021,@,ORL,W,115,105,41,82,0.5,19,35,0.543,14,19,0.737,14,46,25,5,5,15,14,,43,89,0.483,11,32,0.344,8,10,0.8,9,36,23,10,5,11,19
Miami Heat,31,12/19/2021,@,DET,L,90,100,28,74,0.378,13,43,0.302,21,33,0.636,8,39,23,4,3,13,27,,35,75,0.467,8,32,0.25,22,30,0.733,6,47,24,4,2,13,28
Miami Heat,32,12/21/2021,,IND,W,125,96,47,95,0.495,22,49,0.449,9,11,0.818,15,53,30,5,5,11,21,,31,87,0.356,11,31,0.355,23,28,0.821,11,42,22,6,3,11,13
Miami Heat,33,12/23/2021,,DET,W,115,112,43,88,0.489,12,32,0.375,17,19,0.895,6,43,23,4,0,13,25,,36,80,0.45,18,40,0.45,22,25,0.88,6,43,23,9,5,16,25
Miami Heat,34,12/26/2021,,ORL,W,93,83,36,89,0.404,10,34,0.294,11,18,0.611,20,51,28,7,1,13,19,,31,72,0.431,10,32,0.313,11,17,0.647,8,43,17,6,4,18,19
Miami Heat,35,12/28/2021,,WAS,W,119,112,41,92,0.446,16,34,0.471,21,23,0.913,14,42,26,14,5,7,13,,42,85,0.494,17,42,0.405,11,14,0.786,13,47,27,5,3,18,20
Miami Heat,36,12/31/2021,@,HOU,W,120,110,40,86,0.465,14,33,0.424,26,31,0.839,11,43,21,7,6,14,16,,41,93,0.441,14,42,0.333,14,17,0.824,15,46,21,9,4,18,27
Miami Heat,37,1/2/2022,@,SAC,L,113,115,46,105,0.438,9,33,0.273,12,12,1,18,49,26,4,3,9,18,,40,78,0.513,13,34,0.382,22,27,0.815,7,39,31,3,2,16,18
Miami Heat,38,1/3/2022,@,GSW,L,108,115,37,90,0.411,17,42,0.405,17,19,0.895,11,49,24,5,2,18,13,,45,92,0.489,14,38,0.368,11,13,0.846,7,43,39,11,6,12,17
Miami Heat,39,1/5/2022,@,POR,W,115,109,37,82,0.451,19,41,0.463,22,29,0.759,14,50,29,3,3,11,21,,33,78,0.423,15,38,0.395,28,36,0.778,8,36,18,8,4,5,23
Miami Heat,40,1/8/2022,@,PHO,W,123,100,44,88,0.5,22,44,0.5,13,15,0.867,11,49,33,9,1,14,18,,30,79,0.38,14,34,0.412,26,29,0.897,6,35,24,10,1,15,14
Miami Heat,41,1/12/2022,@,ATL,W,115,91,43,90,0.478,16,45,0.356,13,14,0.929,10,54,28,7,4,14,20,,31,82,0.378,13,45,0.289,16,23,0.696,6,37,20,8,3,14,15
Miami Heat,42,1/14/2022,,ATL,W,124,118,41,77,0.532,14,30,0.467,28,30,0.933,9,37,30,6,5,15,27,,38,79,0.481,16,38,0.421,26,30,0.867,9,34,26,6,6,15,27
Miami Heat,43,1/15/2022,,PHI,L,98,109,33,86,0.384,9,35,0.257,23,30,0.767,12,43,24,10,4,10,18,,40,79,0.506,13,32,0.406,16,21,0.762,6,43,24,5,5,15,22
Miami Heat,44,1/17/2022,,TOR,W,104,99,38,83,0.458,9,24,0.375,19,22,0.864,13,49,20,11,8,12,18,,37,90,0.411,13,36,0.361,12,17,0.706,15,45,24,9,5,11,21
Miami Heat,45,1/19/2022,,POR,W,104,92,37,80,0.463,12,35,0.343,18,25,0.72,9,43,24,12,6,14,15,,33,81,0.407,14,46,0.304,12,16,0.75,10,43,19,7,6,16,22
Miami Heat,46,1/21/2022,@,ATL,L,108,110,41,85,0.482,15,40,0.375,11,12,0.917,11,33,30,8,1,15,22,,38,68,0.559,14,33,0.424,20,24,0.833,6,36,26,3,1,16,17
Miami Heat,47,1/23/2022,,LAL,W,113,107,40,81,0.494,15,33,0.455,18,20,0.9,6,39,31,9,3,15,31,,36,79,0.456,11,40,0.275,24,30,0.8,7,38,20,7,1,17,20
Miami Heat,48,1/26/2022,,NYK,W,110,96,37,74,0.5,16,37,0.432,20,22,0.909,7,38,30,8,3,17,23,,35,83,0.422,15,44,0.341,11,17,0.647,15,44,24,8,4,17,23
Miami Heat,49,1/28/2022,,LAC,W,121,114,40,85,0.471,15,34,0.441,26,27,0.963,12,51,28,6,3,18,23,,41,92,0.446,9,35,0.257,23,32,0.719,9,37,22,7,3,13,21
Miami Heat,50,1/29/2022,,TOR,L,120,124,45,110,0.409,16,50,0.32,14,20,0.7,19,61,26,12,6,23,26,,47,107,0.439,16,45,0.356,14,18,0.778,12,53,24,15,9,16,22
Miami Heat,51,1/31/2022,@,BOS,L,92,122,34,87,0.391,17,44,0.386,7,10,0.7,10,38,25,6,2,18,22,,44,84,0.524,16,42,0.381,18,27,0.667,9,44,24,9,6,10,15
Miami Heat,52,2/1/2022,@,TOR,L,106,110,38,78,0.487,8,30,0.267,22,25,0.88,10,38,26,8,1,16,25,,39,81,0.481,12,26,0.462,20,29,0.69,15,43,20,9,3,15,24
Miami Heat,53,2/3/2022,@,SAS,W,112,95,42,83,0.506,12,30,0.4,16,18,0.889,7,42,27,13,3,13,27,,30,80,0.375,8,33,0.242,27,38,0.711,12,43,21,9,5,17,19
Miami Heat,54,2/5/2022,@,CHO,W,104,86,38,91,0.418,11,32,0.344,17,18,0.944,11,49,27,14,6,12,17,,33,86,0.384,10,36,0.278,10,16,0.625,12,50,23,4,5,19,19
Miami Heat,55,2/7/2022,@,WAS,W,121,100,43,76,0.566,18,32,0.563,17,21,0.81,5,37,29,9,1,18,23,,36,80,0.45,7,31,0.226,21,23,0.913,7,33,25,10,0,16,18
Miami Heat,56,2/10/2022,@,NOP,W,112,97,39,81,0.481,10,32,0.313,24,28,0.857,11,43,25,12,4,13,19,,36,85,0.424,11,41,0.268,14,16,0.875,12,39,19,8,6,17,23
Miami Heat,57,2/12/2022,,BRK,W,115,111,41,82,0.5,10,29,0.345,23,29,0.793,10,52,20,6,1,15,21,,42,93,0.452,12,40,0.3,15,22,0.682,9,41,16,12,2,8,27
Miami Heat,58,2/15/2022,,DAL,L,99,107,35,84,0.417,7,27,0.259,22,27,0.815,15,48,19,1,2,12,23,,34,76,0.447,18,41,0.439,21,33,0.636,12,38,27,5,7,8,26
Miami Heat,59,2/17/2022,@,CHO,W,111,107,41,102,0.402,14,48,0.292,15,23,0.652,15,56,31,4,5,14,23,,38,95,0.4,10,42,0.238,21,30,0.7,17,58,27,6,4,18,28
Miami Heat,60,2/25/2022,@,NYK,W,115,100,39,83,0.47,11,32,0.344,26,35,0.743,4,44,22,13,5,8,28,,30,75,0.4,14,40,0.35,26,36,0.722,5,45,19,4,1,18,30
